class	num	num	num	num	num	comment
15	8	350	180	4380	12.1	cadillac
15	8	350	145	4055	12	chevy
15	8	302	130	3870	15	ford
15	8	318	150	3755	14	dodge
30	4	98	68	2045	18.5	honda
30	4	111	80	2155	14.8	buick
35	4	79	58	1825	18.6	renault
25	4	122	96	2300	15.5	plymouth
35	4	85	70	1945	16.8	datsun
20	8	305	145	3880	12.5	chevrolet
15	8	260	110	4060	19	oldsmobile
15	8	318	145	4140	13.7	dodge
15	8	302	130	4295	14.9	mercury
20	6	250	110	3520	16.4	chevrolet
20	6	231	105	3425	16.9	buick
20	6	225	100	3630	17.7	plymouth
20	6	250	98	3525	19	ford
15	8	400	180	4220	11.1	pontiac
15	8	350	170	4165	11.4	chevrolet
15	8	400	190	4325	12.2	chrysler
15	8	351	149	4335	14.5	ford
30	4	97	78	1940	14.5	volkswagen
25	4	151	88	2740	16	pontiac
25	4	97	75	2265	18.2	toyota
25	4	140	89	2755	15.8	ford
30	4	98	63	2051	17	chevrolet
35	4	98	83	2075	15.9	dodge
30	4	97	67	1985	16.4	subaru
30	4	97	78	2190	14.1	volkswagen
20	6	146	97	2815	14.5	datsun
20	4	121	110	2600	12.8	bmw
20	3	80	110	2720	13.5	mazda
45	4	90	48	1985	21.5	volkswagen
35	4	98	66	1800	14.4	ford
35	4	78	52	1985	19.4	mazda
40	4	85	70	2070	18.6	datsun
35	4	91	60	1800	16.4	honda
20	8	260	110	3365	15.5	oldsmobile
20	8	318	140	3735	13.2	dodge
20	8	302	139	3570	12.8	mercury
20	6	231	105	3535	19.2	pontiac
20	6	200	95	3155	18.2	chevrolet
20	6	200	85	2965	15.8	ford
25	4	140	88	2720	15.4	ford
20	6	225	100	3430	17.2	plymouth
20	6	232	90	3210	17.2	amc
20	6	231	105	3380	15.8	buick
20	6	200	85	3070	16.7	mercury
20	6	225	110	3620	18.7	dodge
20	6	258	120	3410	15.1	amc
20	8	305	145	3425	13.2	chevrolet
20	6	231	165	3445	13.4	buick
20	8	302	139	3205	11.2	ford
20	8	318	140	4080	13.7	dodge
30	4	98	68	2155	16.5	chevrolet
30	4	134	95	2560	14.2	toyota
25	4	119	97	2300	14.7	datsun
30	4	105	75	2230	14.5	dodge
20	4	134	95	2515	14.8	toyota
25	4	156	105	2745	16.7	plymouth
25	4	151	85	2855	17.6	oldsmobile
25	4	119	97	2405	14.9	datsun
20	5	131	103	2830	15.9	audi
15	6	163	125	3140	13.6	volvo
20	4	121	115	2795	15.7	saab
15	6	163	133	3410	15.8	peugeot
30	4	89	71	1990	14.9	volkswagen
30	4	98	68	2135	16.6	honda
20	6	231	115	3245	15.4	pontiac
20	6	200	85	2990	18.2	mercury
20	4	140	88	2890	17.3	ford
20	6	232	90	3265	18.2	amc
20	6	225	110	3360	16.6	dodge
15	8	305	130	3840	15.4	chevrolet
20	8	302	129	3725	13.4	ford
15	8	351	138	3955	13.2	mercury
20	8	318	135	3830	15.2	dodge
15	8	350	155	4360	14.9	buick
15	8	351	142	4054	14.3	ford
20	8	267	125	3605	15	chevrolet
20	8	360	150	3940	13	chrysler
30	4	89	71	1925	14	vw
35	4	86	65	1975	15.2	maxda
35	4	98	80	1915	14.4	dodge
25	4	121	80	2670	15	amc
25	5	183	77	3530	20.1	mercedes
25	8	350	125	3900	17.4	cadillac
25	4	141	71	3190	24.8	peugeot
25	8	260	90	3420	22.2	oldsmobile
35	4	105	70	2200	13.2	plymouth
35	4	105	70	2150	14.9	plymouth
30	4	85	65	2020	19.2	datsun
35	4	91	69	2130	14.7	fiat
30	4	151	90	2670	16	buick
30	6	173	115	2595	11.3	chevrolet
25	6	173	115	2700	12.9	oldsmobile
35	4	151	90	2556	13.2	pontiac
40	4	98	76	2144	14.7	vw
40	4	89	60	1968	18.8	toyota
30	4	98	70	2120	15.5	chevrolet
35	4	86	65	2019	16.4	datsun
30	4	151	90	2678	16.5	chevrolet
25	4	140	88	2870	18.1	ford
25	4	151	90	3003	20.1	amc
20	6	225	90	3381	18.7	dodge
35	4	97	78	2188	15.8	audi
30	4	134	90	2711	15.5	toyota
30	4	120	75	2542	17.5	mazda
35	4	119	92	2434	15	datsun
30	4	108	75	2265	15.2	toyota
45	4	86	65	2110	17.9	mazda
30	4	156	105	2800	14.4	dodge
40	4	85	65	2110	19.2	datsun
45	4	90	48	2085	21.7	vw
45	4	90	48	2335	23.7	vw
35	5	121	67	2950	19.9	audi
30	4	146	67	3250	21.8	mercedes-benz
45	4	91	67	1850	13.8	honda
35	4	97	67	2145	18	subaru
30	4	89	62	1845	15.3	vokswagen
35	6	168	132	2910	11.4	datsun
25	3	70	100	2420	12.5	mazda
35	4	122	88	2500	15.1	triumph
30	4	107	72	2290	17	honda
25	4	135	84	2490	15.7	plymouth
25	4	151	84	2635	16.4	buick
25	4	156	92	2620	14.4	dodge
25	6	173	110	2725	12.6	chevrolet
30	4	135	84	2385	12.9	plymouth
40	4	79	58	1755	16.9	toyota
40	4	86	64	1875	16.4	plymouth
35	4	81	60	1760	16.1	honda
30	4	97	67	2065	17.8	subaru
35	4	85	65	1975	19.4	datsun
40	4	89	62	2050	17.3	toyota
35	4	91	68	1985	16	mazda
35	4	105	63	2215	14.9	plymouth
35	4	98	65	2045	16.2	ford
30	4	98	65	2380	20.7	ford
35	4	105	74	2190	14.2	volkswagen
35	4	107	75	2210	14.4	honda
30	4	108	75	2350	16.8	toyota
35	4	119	100	2615	14.8	datsun
30	4	120	74	2635	18.3	mazda
30	4	141	80	3230	20.4	peugeot
30	6	145	76	3160	19.6	volvo
25	6	168	116	2900	12.6	toyota
25	6	146	120	2930	13.8	datsun
20	6	231	110	3415	15.8	buick
25	8	350	105	3725	19	oldsmobile
20	6	200	88	3060	17.1	ford
20	6	225	85	3465	16.6	chrysler
30	4	112	88	2605	19.6	chevrolet
25	4	112	88	2640	18.6	chevrolet
35	4	112	88	2395	18	chevrolet
30	4	112	85	2575	16.2	pontiac
30	4	135	84	2525	16	dodge
25	4	151	90	2735	18	pontiac
25	4	140	92	2865	16.4	ford
35	4	105	74	1980	15.3	volkswagen
35	4	91	68	2025	18.2	mazda
30	4	91	68	1970	17.6	mazda
40	4	105	63	2125	14.7	plymouth
35	4	98	70	2125	17.3	mercury
35	4	120	88	2160	14.5	nissan
35	4	107	75	2205	14.5	honda
35	4	108	70	2245	16.9	toyota
40	4	91	67	1965	15	honda
30	4	91	67	1965	15.7	honda
40	4	91	67	1995	16.2	datsun
25	6	181	110	2945	16.4	buick
40	6	262	85	3015	17	oldsmobile
25	4	156	92	2585	14.5	chrysler
20	6	232	112	2835	14.7	ford
30	4	144	96	2665	13.9	toyota
35	4	135	84	2370	13	dodge
25	4	151	90	2950	17.3	chevrolet
25	4	140	86	2790	15.6	ford
45	4	97	52	2130	24.6	vw
30	4	135	84	2295	11.6	dodge
30	4	120	79	2625	18.6	ford
30	4	119	82	2720	19.4	chevy
